5.34286e-08,2.26567e-08,5.38913e-08
2.59115e-08,2.6069e-08,2.61956e-08
1.03626e-08,1.044e-08,1.05151e-08
5.95007e-09,6.00091e-09,6.0521e-09
3.47124e-09,3.50507e-09,3.53832e-09
2.23345e-09,2.25643e-09,2.27979e-09
1.4571e-09,1.4734e-09,1.48938e-09
1.02269e-09,1.03419e-09,1.04602e-09
7.18412e-10,7.27077e-10,7.35497e-10
5.38486e-10,5.44818e-10,5.51418e-10
3.98841e-10,4.03879e-10,4.08709e-10
3.1398e-10,3.17751e-10,3.21749e-10
2.41858e-10,2.45013e-10,2.47986e-10
1.97592e-10,1.99984e-10,2.02572e-10
1.56822e-10,1.5892e-10,1.60857e-10
1.31844e-10,1.33441e-10,1.35209e-10
1.07114e-10,1.08579e-10,1.09898e-10
9.21179e-11,9.32273e-11,9.44885e-11
7.62489e-11,7.73135e-11,7.82455e-11
6.6786e-11,6.75822e-11,6.8515e-11
