èCém,,,,,êVï˚éÆ,,,
t,i1,i2,i3,,t,i1,i2,i3
3.40429,1.467320538,2.90321535,4.299591948,,2.74E-01,5.11E+00,9.46E+00,1.29E+01
3.50442,1.446765788,2.863269804,4.241742917,,2.78E-01,5.07E+00,9.39E+00,1.28E+01
3.60455,1.427149421,2.825131131,4.186479688,,2.83E-01,5.03E+00,9.32E+00,1.27E+01
3.70468,1.408412126,2.78868565,4.133640559,,2.89E-01,4.98E+00,9.24E+00,1.26E+01
3.80481,1.390499122,2.753828278,4.083075893,,2.95E-01,4.94E+00,9.17E+00,1.25E+01
3.90494,1.37335967,2.720461619,4.034646873,,3.00E-01,4.90E+00,9.10E+00,1.24E+01
4.00507,1.35694667,2.688495206,3.988224453,,3.06E-01,4.85E+00,9.03E+00,1.23E+01
4.1052,1.341216307,2.657844838,3.943688449,,3.11E-01,4.82E+00,8.97E+00,1.23E+01
4.20533,1.326127755,2.628432028,3.90092676,,3.16E-01,4.78E+00,8.91E+00,1.22E+01
4.30546,1.311642918,2.600183503,3.859834688,,3.22E-01,4.74E+00,8.84E+00,1.21E+01
4.40559,1.297726203,2.573030786,3.820314346,,3.28E-01,4.70E+00,8.77E+00,1.20E+01
4.50572,1.284344318,2.546909816,3.782274125,,3.32E-01,4.67E+00,8.72E+00,1.20E+01
4.60585,1.271466103,2.521760612,3.745628227,,3.38E-01,4.63E+00,8.66E+00,1.19E+01
4.70598,1.259062366,2.497526973,3.710296241,,3.43E-01,4.60E+00,8.60E+00,1.18E+01
4.80611,1.247105743,2.474156212,3.676202769,,3.47E-01,4.57E+00,8.55E+00,1.18E+01
4.90624,1.235570571,2.451598909,3.643277072,,3.53E-01,4.54E+00,8.49E+00,1.17E+01
5.00637,1.224432772,2.42980869,3.611452764,,3.58E-01,4.51E+00,8.44E+00,1.16E+01
,,,,,3.64E-01,4.47E+00,8.38E+00,1.16E+01
,,,,,3.70E-01,4.45E+00,8.33E+00,1.15E+01
,,,,,3.76E-01,4.41E+00,8.28E+00,1.14E+01
,,,,,3.81E-01,4.38E+00,8.23E+00,1.14E+01
,,,,,3.87E-01,4.36E+00,8.18E+00,1.13E+01
,,,,,3.92E-01,4.33E+00,8.13E+00,1.13E+01
,,,,,3.98E-01,4.30E+00,8.09E+00,1.12E+01
,,,,,4.03E-01,4.28E+00,8.04E+00,1.12E+01
,,,,,4.09E-01,4.25E+00,8.00E+00,1.11E+01
,,,,,4.15E-01,4.22E+00,7.95E+00,1.10E+01
,,,,,4.20E-01,4.20E+00,7.90E+00,1.10E+01
,,,,,4.26E-01,4.17E+00,7.86E+00,1.09E+01
,,,,,4.32E-01,4.15E+00,7.81E+00,1.09E+01
,,,,,4.36E-01,4.12E+00,7.78E+00,1.08E+01
,,,,,4.42E-01,4.10E+00,7.74E+00,1.08E+01
,,,,,4.47E-01,4.08E+00,7.69E+00,1.07E+01
,,,,,4.53E-01,4.05E+00,7.65E+00,1.07E+01
,,,,,4.58E-01,4.03E+00,7.62E+00,1.06E+01
,,,,,4.63E-01,4.01E+00,7.57E+00,1.06E+01
,,,,,4.70E-01,3.99E+00,7.53E+00,1.05E+01
,,,,,4.74E-01,3.97E+00,7.50E+00,1.05E+01
,,,,,4.80E-01,3.94E+00,7.46E+00,1.04E+01
,,,,,4.85E-01,3.92E+00,7.42E+00,1.04E+01
,,,,,4.90E-01,3.91E+00,7.39E+00,1.03E+01
,,,,,4.96E-01,3.88E+00,7.35E+00,1.03E+01
,,,,,5.01E-01,3.86E+00,7.32E+00,1.03E+01
,,,,,5.07E-01,3.85E+00,7.29E+00,1.02E+01
,,,,,5.12E-01,3.83E+00,7.25E+00,1.02E+01
,,,,,5.18E-01,3.81E+00,7.22E+00,1.01E+01
,,,,,5.24E-01,3.79E+00,7.19E+00,1.01E+01
,,,,,5.29E-01,3.77E+00,7.15E+00,1.00E+01
,,,,,5.34E-01,3.75E+00,7.12E+00,1.00E+01
,,,,,5.38E-01,3.74E+00,7.10E+00,9.97E+00
,,,,,5.44E-01,3.72E+00,7.06E+00,9.93E+00
,,,,,5.50E-01,3.70E+00,7.03E+00,9.88E+00
,,,,,5.55E-01,3.68E+00,7.00E+00,9.84E+00
,,,,,5.60E-01,3.67E+00,6.97E+00,9.81E+00
,,,,,5.65E-01,3.65E+00,6.94E+00,9.77E+00
,,,,,5.70E-01,3.64E+00,6.92E+00,9.74E+00
,,,,,5.75E-01,3.62E+00,6.88E+00,9.70E+00
,,,,,5.81E-01,3.60E+00,6.86E+00,9.66E+00
,,,,,5.86E-01,3.59E+00,6.83E+00,9.63E+00
,,,,,5.91E-01,3.57E+00,6.80E+00,9.59E+00
,,,,,5.97E-01,3.56E+00,6.77E+00,9.55E+00
,,,,,6.02E-01,3.54E+00,6.75E+00,9.52E+00
,,,,,6.08E-01,3.53E+00,6.72E+00,9.49E+00
,,,,,6.13E-01,3.51E+00,6.70E+00,9.45E+00
,,,,,6.18E-01,3.50E+00,6.67E+00,9.42E+00
,,,,,6.23E-01,3.48E+00,6.64E+00,9.39E+00
,,,,,6.29E-01,3.47E+00,6.62E+00,9.35E+00
,,,,,6.34E-01,3.46E+00,6.59E+00,9.32E+00
,,,,,6.40E-01,3.44E+00,6.57E+00,9.29E+00
,,,,,6.45E-01,3.43E+00,6.54E+00,9.25E+00
,,,,,6.51E-01,3.41E+00,6.52E+00,9.22E+00
,,,,,6.56E-01,3.40E+00,6.50E+00,9.19E+00
,,,,,6.62E-01,3.39E+00,6.47E+00,9.16E+00
,,,,,6.67E-01,3.37E+00,6.45E+00,9.13E+00
,,,,,6.72E-01,3.36E+00,6.42E+00,9.10E+00
,,,,,6.78E-01,3.35E+00,6.40E+00,9.07E+00
,,,,,6.84E-01,3.34E+00,6.38E+00,9.04E+00
,,,,,6.89E-01,3.32E+00,6.36E+00,9.01E+00
,,,,,6.95E-01,3.31E+00,6.33E+00,8.98E+00
,,,,,7.01E-01,3.30E+00,6.31E+00,8.95E+00
,,,,,7.06E-01,3.29E+00,6.29E+00,8.92E+00
,,,,,7.11E-01,3.27E+00,6.27E+00,8.89E+00
,,,,,7.16E-01,3.26E+00,6.25E+00,8.87E+00
,,,,,7.22E-01,3.25E+00,6.23E+00,8.84E+00
,,,,,7.27E-01,3.24E+00,6.20E+00,8.81E+00
,,,,,7.32E-01,3.23E+00,6.18E+00,8.79E+00
,,,,,7.37E-01,3.22E+00,6.16E+00,8.76E+00
,,,,,7.41E-01,3.21E+00,6.15E+00,8.74E+00
,,,,,7.46E-01,3.20E+00,6.13E+00,8.71E+00
,,,,,7.52E-01,3.19E+00,6.11E+00,8.69E+00
,,,,,7.58E-01,3.18E+00,6.09E+00,8.66E+00
,,,,,7.63E-01,3.16E+00,6.07E+00,8.63E+00
,,,,,7.69E-01,3.15E+00,6.05E+00,8.61E+00
,,,,,7.75E-01,3.14E+00,6.03E+00,8.58E+00
,,,,,7.81E-01,3.13E+00,6.01E+00,8.56E+00
,,,,,7.86E-01,3.12E+00,5.99E+00,8.53E+00
,,,,,7.92E-01,3.11E+00,5.97E+00,8.51E+00
,,,,,7.97E-01,3.10E+00,5.95E+00,8.49E+00
,,,,,8.03E-01,3.09E+00,5.94E+00,8.46E+00
,,,,,8.09E-01,3.08E+00,5.92E+00,8.44E+00
,,,,,8.14E-01,3.07E+00,5.90E+00,8.41E+00
,,,,,8.20E-01,3.06E+00,5.88E+00,8.39E+00
,,,,,8.25E-01,3.05E+00,5.87E+00,8.37E+00
,,,,,8.29E-01,3.04E+00,5.85E+00,8.35E+00
,,,,,8.35E-01,3.03E+00,5.83E+00,8.32E+00
,,,,,8.41E-01,3.02E+00,5.81E+00,8.30E+00
,,,,,8.46E-01,3.02E+00,5.80E+00,8.28E+00
,,,,,8.52E-01,3.01E+00,5.78E+00,8.25E+00
,,,,,8.58E-01,3.00E+00,5.76E+00,8.23E+00
,,,,,8.64E-01,2.99E+00,5.75E+00,8.21E+00
,,,,,8.69E-01,2.98E+00,5.73E+00,8.19E+00
,,,,,8.74E-01,2.97E+00,5.72E+00,8.17E+00
,,,,,8.79E-01,2.96E+00,5.70E+00,8.15E+00
,,,,,8.85E-01,2.95E+00,5.68E+00,8.13E+00
,,,,,8.90E-01,2.94E+00,5.67E+00,8.10E+00
,,,,,8.96E-01,2.94E+00,5.65E+00,8.08E+00
,,,,,9.01E-01,2.93E+00,5.64E+00,8.06E+00
,,,,,9.05E-01,2.92E+00,5.62E+00,8.04E+00
,,,,,9.11E-01,2.91E+00,5.61E+00,8.02E+00
,,,,,9.17E-01,2.90E+00,5.59E+00,8.00E+00
,,,,,9.23E-01,2.89E+00,5.58E+00,7.98E+00
,,,,,9.29E-01,2.89E+00,5.56E+00,7.96E+00
,,,,,9.34E-01,2.88E+00,5.55E+00,7.94E+00
,,,,,9.39E-01,2.87E+00,5.53E+00,7.92E+00
,,,,,9.45E-01,2.86E+00,5.52E+00,7.90E+00
,,,,,9.50E-01,2.85E+00,5.50E+00,7.88E+00
,,,,,9.56E-01,2.85E+00,5.49E+00,7.86E+00
,,,,,9.62E-01,2.84E+00,5.47E+00,7.84E+00
,,,,,9.68E-01,2.83E+00,5.46E+00,7.83E+00
,,,,,9.73E-01,2.82E+00,5.45E+00,7.81E+00
,,,,,9.79E-01,2.82E+00,5.43E+00,7.79E+00
,,,,,9.83E-01,2.81E+00,5.42E+00,7.77E+00
,,,,,9.88E-01,2.80E+00,5.41E+00,7.75E+00
,,,,,9.93E-01,2.80E+00,5.39E+00,7.74E+00
,,,,,9.98E-01,2.79E+00,5.38E+00,7.72E+00
,,,,,1.00E+00,2.78E+00,5.37E+00,7.70E+00
,,,,,1.01E+00,2.77E+00,5.35E+00,7.68E+00
,,,,,1.01E+00,2.77E+00,5.34E+00,7.67E+00
,,,,,1.02E+00,2.76E+00,5.33E+00,7.65E+00
,,,,,1.02E+00,2.75E+00,5.31E+00,7.63E+00
,,,,,1.03E+00,2.75E+00,5.30E+00,7.61E+00
,,,,,1.04E+00,2.74E+00,5.29E+00,7.60E+00
,,,,,1.04E+00,2.73E+00,5.28E+00,7.58E+00
