0,0
0.015,0,0,-0,0.0015708,0.0002
0.0149178,0.00156793,0.0002,-0.000164193,0.00156219,0.0002
0.0146722,0.00311868,0.0004,-0.000326587,0.00153647,0.0002
0.0142658,0.00463525,0.0006,-0.000485403,0.00149392,0.0002
0.0137032,0.00610105,0.0008,-0.0006389,0.00143499,0.0002
0.0129904,0.0075,0.001,-0.000785398,0.00136035,0.0002
0.0121353,0.00881678,0.0012,-0.000923291,0.0012708,0.0002
0.0111472,0.010037,0.0014,-0.00105107,0.00116733,0.0002
0.010037,0.0111472,0.0016,-0.00116733,0.00105107,0.0002
0.00881678,0.0121353,0.0018,-0.0012708,0.000923291,0.0002
0.0075,0.0129904,0.002,-0.00136035,0.000785398,0.0002
0.00610105,0.0137032,0.0022,-0.00143499,0.0006389,0.0002
0.00463525,0.0142658,0.0024,-0.00149392,0.000485403,0.0002
0.00311868,0.0146722,0.0026,-0.00153647,0.000326587,0.0002
0.00156793,0.0149178,0.0028,-0.00156219,0.000164193,0.0002
2.69234e-11,0.015,0.003,-0.0015708,2.81942e-12,0.0002
-0.00156793,0.0149178,0.0032,-0.00156219,-0.000164193,0.0002
-0.00311868,0.0146722,0.0034,-0.00153647,-0.000326587,0.0002
-0.00463525,0.0142658,0.0036,-0.00149392,-0.000485403,0.0002
-0.00610105,0.0137032,0.0038,-0.00143499,-0.0006389,0.0002
-0.0075,0.0129904,0.004,-0.00136035,-0.000785398,0.0002
-0.00881678,0.0121353,0.0042,-0.0012708,-0.000923291,0.0002
-0.010037,0.0111472,0.0044,-0.00116733,-0.00105107,0.0002
-0.0111472,0.010037,0.0046,-0.00105107,-0.00116733,0.0002
-0.0121353,0.00881678,0.0048,-0.000923291,-0.0012708,0.0002
-0.0129904,0.0075,0.005,-0.000785398,-0.00136035,0.0002
-0.0137032,0.00610105,0.0052,-0.0006389,-0.00143499,0.0002
-0.0142658,0.00463525,0.0054,-0.000485403,-0.00149392,0.0002
-0.0146722,0.00311868,0.0056,-0.000326587,-0.00153647,0.0002
-0.0149178,0.00156793,0.0058,-0.000164193,-0.00156219,0.0002
-0.015,5.38469e-11,0.006,-5.63883e-12,-0.0015708,0.0002
-0.0149178,-0.00156793,0.0062,0.000164193,-0.00156219,0.0002
